"","GISD_Score","Kreiskennziffer","Name des Kreises","Jahr"
"1",0.059338,5111,"Düsseldorf, Stadt",1998
"2",0.058602,5111,"Düsseldorf, Stadt",1999
"3",0.090516,5111,"Düsseldorf, Stadt",2000
"4",0.098539,5111,"Düsseldorf, Stadt",2001
"5",0.05964,5111,"Düsseldorf, Stadt",2002
"6",0.057284,5111,"Düsseldorf, Stadt",2003
"7",0.049454,5111,"Düsseldorf, Stadt",2004
"8",0.083965,5111,"Düsseldorf, Stadt",2005
"9",0.039275,5111,"Düsseldorf, Stadt",2006
"10",0.040079,5111,"Düsseldorf, Stadt",2007
"11",0.008048,5111,"Düsseldorf, Stadt",2008
"12",0.074406,5111,"Düsseldorf, Stadt",2009
"13",0.049761,5111,"Düsseldorf, Stadt",2010
"14",0.075377,5111,"Düsseldorf, Stadt",2011
"15",0.086416,5111,"Düsseldorf, Stadt",2012
"16",0.082572,5111,"Düsseldorf, Stadt",2013
"17",0.084929,5111,"Düsseldorf, Stadt",2014
"18",0.039011,5111,"Düsseldorf, Stadt",2015
"19",0,5111,"Düsseldorf, Stadt",2016
"20",0,5111,"Düsseldorf, Stadt",2017
"21",0,5111,"Düsseldorf, Stadt",2018
"22",0,5111,"Düsseldorf, Stadt",2019
"23",0.826925,5112,"Duisburg, Stadt",1998
"24",0.804363,5112,"Duisburg, Stadt",1999
"25",0.797932,5112,"Duisburg, Stadt",2000
"26",0.815934,5112,"Duisburg, Stadt",2001
"27",0.861102,5112,"Duisburg, Stadt",2002
"28",0.807929,5112,"Duisburg, Stadt",2003
"29",0.788288,5112,"Duisburg, Stadt",2004
"30",0.785183,5112,"Duisburg, Stadt",2005
"31",0.802893,5112,"Duisburg, Stadt",2006
"32",0.795072,5112,"Duisburg, Stadt",2007
"33",0.795074,5112,"Duisburg, Stadt",2008
"34",0.825118,5112,"Duisburg, Stadt",2009
"35",0.809956,5112,"Duisburg, Stadt",2010
"36",0.81725,5112,"Duisburg, Stadt",2011
"37",0.822114,5112,"Duisburg, Stadt",2012
"38",0.798262,5112,"Duisburg, Stadt",2013
"39",0.778,5112,"Duisburg, Stadt",2014
"40",0.791829,5112,"Duisburg, Stadt",2015
"41",0.757235,5112,"Duisburg, Stadt",2016
"42",0.814097,5112,"Duisburg, Stadt",2017
"43",0.839735,5112,"Duisburg, Stadt",2018
"44",0.842173,5112,"Duisburg, Stadt",2019
"45",0.463139,5113,"Essen, Stadt",1998
"46",0.45284,5113,"Essen, Stadt",1999
"47",0.429245,5113,"Essen, Stadt",2000
"48",0.440611,5113,"Essen, Stadt",2001
"49",0.440437,5113,"Essen, Stadt",2002
"50",0.442132,5113,"Essen, Stadt",2003
"51",0.476695,5113,"Essen, Stadt",2004
"52",0.488806,5113,"Essen, Stadt",2005
"53",0.456547,5113,"Essen, Stadt",2006
"54",0.4664,5113,"Essen, Stadt",2007
"55",0.488457,5113,"Essen, Stadt",2008
"56",0.523486,5113,"Essen, Stadt",2009
"57",0.496934,5113,"Essen, Stadt",2010
"58",0.51103,5113,"Essen, Stadt",2011
"59",0.525097,5113,"Essen, Stadt",2012
"60",0.545484,5113,"Essen, Stadt",2013
"61",0.565524,5113,"Essen, Stadt",2014
"62",0.539352,5113,"Essen, Stadt",2015
"63",0.498459,5113,"Essen, Stadt",2016
"64",0.545308,5113,"Essen, Stadt",2017
"65",0.536854,5113,"Essen, Stadt",2018
"66",0.535257,5113,"Essen, Stadt",2019
"67",0.467914,5114,"Krefeld, Stadt",1998
"68",0.454956,5114,"Krefeld, Stadt",1999
"69",0.484453,5114,"Krefeld, Stadt",2000
"70",0.540303,5114,"Krefeld, Stadt",2001
"71",0.552397,5114,"Krefeld, Stadt",2002
"72",0.550203,5114,"Krefeld, Stadt",2003
"73",0.534922,5114,"Krefeld, Stadt",2004
"74",0.500563,5114,"Krefeld, Stadt",2005
"75",0.536786,5114,"Krefeld, Stadt",2006
"76",0.563729,5114,"Krefeld, Stadt",2007
"77",0.587196,5114,"Krefeld, Stadt",2008
"78",0.564331,5114,"Krefeld, Stadt",2009
